"subject" "activity" "tBodyAccmeanX" "tBodyAccmeanY" "tBodyAccmeanZ" "tBodyAccstdX" "tBodyAccstdY" "tBodyAccstdZ" "tGravityAccmeanX" "tGravityAccmeanY" "tGravityAccmeanZ" "tGravityAccstdX" "tGravityAccstdY" "tGravityAccstdZ" "tBodyAccJerkmeanX" "tBodyAccJerkmeanY" "tBodyAccJerkmeanZ" "tBodyAccJerkstdX" "tBodyAccJerkstdY" "tBodyAccJerkstdZ" "tBodyGyromeanX" "tBodyGyromeanY" "tBodyGyromeanZ" "tBodyGyrostdX" "tBodyGyrostdY" "tBodyGyrostdZ" "tBodyGyroJerkmeanX" "tBodyGyroJerkmeanY" "tBodyGyroJerkmeanZ" "tBodyGyroJerkstdX" "tBodyGyroJerkstdY" "tBodyGyroJerkstdZ" "tBodyAccMagmean" "tBodyAccMagstd" "tGravityAccMagmean" "tGravityAccMagstd" "tBodyAccJerkMagmean" "tBodyAccJerkMagstd" "tBodyGyroMagmean" "tBodyGyroMagstd" "tBodyGyroJerkMagmean" "tBodyGyroJerkMagstd" "fBodyAccmeanX" "fBodyAccmeanY" "fBodyAccmeanZ" "fBodyAccstdX" "fBodyAccstdY" "fBodyAccstdZ" "fBodyAccJerkmeanX" "fBodyAccJerkmeanY" "fBodyAccJerkmeanZ" "fBodyAccJerkstdX" "fBodyAccJerkstdY" "fBodyAccJerkstdZ" "fBodyGyromeanX" "fBodyGyromeanY" "fBodyGyromeanZ" "fBodyGyrostdX" "fBodyGyrostdY" "fBodyGyrostdZ" "fBodyAccMagmean" "fBodyAccMagstd" "fBodyBodyAccJerkMagmean" "fBodyBodyAccJerkMagstd" "fBodyBodyGyroMagmean" "fBodyBodyGyroMagstd" "fBodyBodyGyroJerkMagmean" "fBodyBodyGyroJerkMagstd"
1 "LAYING" -0.0405139534294 0.228735359858 0.03545197294 -0.9979330042 -0.9364442664 -0.9280787516 -0.9224626098 -0.9844682058 -0.80051182446 -0.8796357266 -0.9979056496 -0.9846655826 -0.9423669466 -0.9326606676 -0.9298067252 -0.9377540314 -0.9730977224 -0.9423669466 0.005230114486 -0.0323307491374 0.14656522416 0.17603638864 -0.104318251058 0.1841656711 0.350315681568 -0.355578328832 0.37825803756 -0.542024096944 0.556812091134 -0.571246185672 -0.025026424548 0.01432692524 -0.9168893878 -0.78018166656 -0.244623975822 -0.40846670854 -0.056377897954 0.252542752996 -0.9431306684 0.89212957908 0.05755809046 -0.04829237488 0.19652560844 0.137709403596 0.167292818432 0.142028297686 -0.851919211 -0.9234351032 -0.8574316098 -0.79302889848 -0.9645797746 -0.9470157928 -0.9834040584 -0.9945832594 -0.9529067058 -0.9415874488 -0.954782115 -0.8448482352 -0.90193548364 -0.969655172 -0.9897103736 -0.980805424 -0.9985127192 -0.9965341284 -0.9982127622 -0.9965645444
1 "SITTING" -0.00130828765170213 0.280577546619149 0.145847348340426 -0.99939998106383 -0.978395126382979 -0.98261972212766 -0.981579467021277 -0.989690072978723 -0.959720846170213 -0.855656622170213 -0.999722429148936 -0.999210299574468 -0.989797547234043 -0.987049617234043 -0.987988369361702 -0.986101085531915 -0.992225690851064 -0.989797547234043 -0.0594168140489362 0.0410396568 -0.00412059408510638 0.1686773395 -0.129112633042553 0.185128001391489 0.414006838514894 -0.401079185042553 0.403734667425532 -0.4490019039 0.466639344 -0.483987104191489 0.0472096716634043 0.0320176611553191 -0.944074088510638 -0.875423871702128 -0.719305914170213 -0.577005120234043 0.00767758642553192 0.152511136276596 -0.98411784 0.991556533404255 0.271660456361702 -0.0522565170382979 0.379719430468085 0.158765734893617 0.189731728453192 0.225931493851064 -0.951707238510638 -0.977321919574468 -0.916091431914894 -0.924887211489362 -0.979553237234043 -0.962461157446808 -0.999202159787234 -0.999569878297872 -0.984963533191489 -0.985174057446809 -0.98519764893617 -0.957038865957447 -0.914893616595745 -0.991195891276596 -0.999771084042553 -0.999490706170213 -0.999922814255319 -0.999768058297872 -0.99947712893617 -0.998835142553192
1 "STANDING" -0.0161375901037736 0.194436008924528 0.199252568566038 -0.999826126792453 -0.988907299811321 -0.990740053962264 -0.985418704528302 -0.995837950943396 -0.995002275471698 -0.911920666415094 -0.999979371320755 -0.999589781886792 -0.994815376981132 -0.994671123207547 -0.994423714716981 -0.994901193396226 -0.993849913962264 -0.994815376981132 -0.145505504188679 0.113641825830189 0.0807014957641509 0.185333378811321 -0.1383467407 0.190322101056604 0.35069500654717 -0.346655733150943 0.359977633 -0.392890944003774 0.408391011128302 -0.423744830150943 0.0548480765660377 0.107303270526415 -0.98136248754717 -0.873775728490566 -0.358149656018868 -0.432613868269811 -0.0262946998830189 -0.00512713848867925 -0.989576411509434 0.99307723245283 0.080829947990566 -0.146484764158491 0.199347046685283 0.167140849451132 0.0427901228924528 0.153229770249057 -0.98321947754717 -0.996408658867925 -0.973357976037736 -0.972128014716981 -0.995319346415094 -0.989838321509434 -0.999730950566038 -0.999850634339623 -0.992559703396226 -0.988364029056604 -0.989311233018868 -1 -0.885575167169811 -0.880286271849057 -0.999962169622642 -0.999932410188679 -0.999974497358491 -0.999883080943396 -0.999875246792453 -0.999739805660377
1 "WALKING" -0.0173838185273684 0.119642260287368 0.0888187274757895 -0.915448924210526 -0.356793381225263 -0.0427393448347368 -0.0352255241130632 -0.737627317789474 0.654704547789474 -0.6152642566 -0.762600426842105 -0.662361542842105 -0.319308593778947 -0.381601911789474 -0.3289896264 -0.393752784747368 -0.593162934378947 -0.319308593778947 0.348408026326105 -0.149185121450526 0.0799407763368421 -0.167359936813684 0.174964719959684 0.167755468465263 0.0225500006989474 -0.147268381928421 0.295757009010526 -0.250876315288421 0.274929707621053 -0.296802273938947 0.186101452 0.149407760485263 -0.371342161157895 -0.468043160526316 0.259224199421053 0.00389538026105263 0.0129696855126316 -0.0630329306810526 -0.409432594 0.353694184736842 -0.244014582968421 0.103337216747368 0.295518946016947 0.251467955758947 0.336007482421053 0.0691703283536842 -0.2889014748 -0.527252513894737 -0.305903287315789 -0.299703458663158 -0.724996404947368 -0.824152039368421 -0.420667746210526 -0.868725562842105 -0.106499912390526 -0.306844827821053 -0.535116909894737 0.629489518947368 -0.77928692768421 -0.634119783568421 -0.942760795157895 -0.930850458421053 -0.846545287684211 -0.832682078105263 -0.911097014315789 -0.901739817578947
1 "WALKING_DOWNSTAIRS" -0.00991850461020408 0.124071523828571 -0.12089367574898 -0.805101292857143 -0.0816266474879592 -0.00400138552857143 -0.12866715764898 -0.708681209795918 0.612594744897959 -0.850157251836735 -0.647142979183673 -0.687767608979592 -0.281963359177551 -0.391919876612245 -0.297770357755102 -0.51162451877551 -0.52940315255102 -0.281963359177551 0.367594986693878 -0.310025981922449 0.276300963816327 -0.121436208734694 0.155332861145102 0.0866824709163265 0.230730429918367 -0.306573348142449 0.403120417755102 -0.204295249612245 0.223435974563265 -0.241356826059184 0.281174562510204 0.158947910755102 -0.185024724471429 -0.466480526326531 0.247013933489796 0.18670197882449 -0.0101049480204082 -0.191032660469388 -0.226432215061224 0.511038277142857 -0.207294968428571 0.143486965732653 0.172044883126531 0.202379802653061 0.291522625081633 0.155235783612245 -0.262405445789796 -0.0991868746434694 -0.421067364285714 -0.310516360836735 -0.566389320616327 -0.762025518163265 -0.581583768163265 -0.773491537959184 0.0905159982783673 -0.292319346204082 -0.363256670857143 0.721825087959184 -0.856484528979592 -0.752287122244898 -0.93837405 -0.915838349795918 -0.751657050612245 -0.680318860408163 -0.895317615918367 -0.863632734489796
1 "WALKING_UPSTAIRS" -0.0239531492643396 0.0802811406735849 -0.339098301509434 -0.98084875754717 -0.497092438867925 -0.447195782641509 -0.41344458754717 -0.855511307169811 0.38879473509434 -0.763698514528302 -0.875794654716981 -0.866527347169811 -0.634665082075472 -0.693930521509434 -0.640844403773585 -0.745710533018868 -0.782205106981132 -0.634665082075472 0.438563589433962 -0.23977634310566 0.134340677858491 -0.327397149962264 0.226589616607547 0.0400244128867925 0.520389702660377 -0.578771466603774 0.649069533207547 -0.687026630377358 0.700655634528302 -0.713323309433962 0.0474256507528302 -0.0627210390754717 -0.530972346415094 -0.409868342316981 0.12949984354717 0.0790799248981132 -0.169734054533962 -0.364162675924528 -0.603776643207547 0.674438256415094 -0.273392982754717 0.10881789825283 0.176559587292075 0.204362989266038 0.280431049773585 0.13572778730566 -0.263666692396226 -0.361913121698113 -0.043355024554717 0.30476124 -0.770928005849057 -0.897686123396226 -0.799442904339623 -0.952646290188679 -0.424586801320755 -0.541857141132076 -0.711777370377358 0.397290868867925 -0.93548387 -0.825634351886792 -0.974036661509434 -0.963658142264151 -0.96880849 -0.957281487358491 -0.973492534339623 -0.964832021132075
2 "LAYING" -0.0181587397583333 0.326810699202083 0.229652255146458 -0.999742999375 -0.978085865416667 -0.983004468958333 -0.982768250416667 -0.990536677291667 -0.9775816175 -0.90195939875 -0.9998257175 -0.999373029375 -0.990248702291667 -0.989492660416667 -0.989112383333333 -0.991086032291667 -0.992251989583333 -0.990248702291667 -0.0342332338791667 -0.0110161439029167 0.075290978403125 0.298941607291667 -0.171373589208333 0.2356243049375 0.160945588454167 -0.165059560922917 0.191708345741667 -0.271551733785417 0.289946464827083 -0.308234634202083 0.0615497245 0.15549024315 -0.9602171075 -0.871492135 -0.478879195916667 -0.543054463583333 -0.329378660083333 0.326928163091667 -0.98385865625 0.992272077708333 0.20464960915 -0.0265342590258333 0.223318339583333 0.137571376783333 0.275701259104167 0.21232686229375 -0.98495954125 -0.972752238125 -0.983441689583333 -0.983825756875 -0.9745801775 -0.986975118541667 -0.999540290833333 -0.999723773958333 -0.982430040625 -0.986250910833333 -0.985937290208333 -0.969160735625 -0.9381720428125 -0.987068965416667 -0.99990293 -0.999807918125 -0.999842083125 -0.999836357083333 -0.999345255416667 -0.999114853541667
2 "SITTING" -0.0156879937282609 0.279872194893478 0.108494865458696 -0.999531492608696 -0.975792802608696 -0.980972608913043 -0.977139702826087 -0.992381729782609 -0.968906322173913 -0.890462019130435 -0.999927669782609 -0.999229337391304 -0.989861950869565 -0.989632908913043 -0.989247532391304 -0.990734229782609 -0.990826929782609 -0.989861950869565 -0.1234873796 0.0820047986478261 0.114170112521739 0.176580528906522 -0.12420554726087 0.201417684758696 0.475455904069565 -0.483447908776087 0.505593871369565 -0.504226633413044 0.51318526426087 -0.521841446543478 0.0560621092195652 -0.0153226223695652 -0.960824016956522 -0.884830284782609 -0.551229318813043 -0.287094605152174 -0.146327425841087 0.182080612630435 -0.980723688043478 0.98623131673913 0.191997725421739 0.00823813477391304 0.321867508895652 0.18423333736087 0.135024290436957 0.12342624383913 -0.96636502673913 -0.988135425217391 -0.953347537173913 -0.947823860434783 -0.985262867391304 -0.97531781326087 -0.999464775869565 -0.999705476304348 -0.985456146521739 -0.983247361086957 -0.984353878913043 -0.971164573478261 -0.949509115869565 -0.919040479782609 -0.999839073913043 -0.999797425869565 -0.999933208913043 -0.999860042391304 -0.999510826521739 -0.999010552608696
2 "STANDING" -0.0184208270166667 0.199246106074074 0.0593805881314815 -0.999555605925926 -0.965472923518519 -0.973970031111111 -0.970851337962963 -0.989528703518519 -0.925181028148148 -0.89711351962963 -0.999851439814815 -0.998645657962963 -0.977849827407407 -0.977754298148148 -0.977374199814815 -0.979384431296296 -0.983015609074074 -0.977849827407407 -0.0756957018166667 0.0368231465462963 0.0376910751222222 0.0669120089112963 -0.0573481512425926 0.176126990322222 0.393407970003704 -0.389221846551852 0.401313067462963 -0.503979640537037 0.512760935722222 -0.521274890111111 0.0179814973911111 0.0519918778635185 -0.969520888148148 -0.860489124074074 -0.327713970018519 -0.414833355038889 -0.145780534074074 0.0672573718277778 -0.955146055740741 0.977707245740741 -0.0330938155166667 -0.055695921887037 0.141292793592593 0.119488078914815 0.124450174648148 0.117339311953704 -0.957707751111111 -0.991393059074074 -0.963404154074074 -0.937082467962963 -0.987891733888889 -0.979972376296296 -0.998934443703704 -0.999487172407407 -0.977488732962963 -0.976107232407407 -0.979850861851852 -0.925381529814815 -0.893667860555556 -0.887611749074074 -0.999541982407407 -0.999262140555556 -0.999628608333333 -0.999420771296296 -0.999284092037037 -0.998683525
2 "WALKING" -0.0185949199145763 0.199786490738983 0.228528878122034 -0.952936305254237 -0.40288147 -0.134787572220339 -0.0787640836610169 -0.766186334576271 0.631032479491525 -0.763433393559322 -0.881062550508475 -0.710513266101695 -0.583249293389831 -0.558104554745763 -0.549210865423729 -0.565357674745763 -0.798064586440678 -0.583249293389831 0.303195506700678 -0.210438884196949 0.105832245038983 -0.170066954830508 0.28822188661017 -0.0588494089322034 -0.046941288179661 -0.0392011563355932 0.150537117615254 -0.323322676389831 0.373280612711864 -0.421718000067797 0.185873758461017 0.0305568040881356 -0.504308767288136 -0.489339145932203 0.142944547133898 0.0968305507466102 -0.186864722484746 0.105900774240678 -0.470018732372881 0.420722813050847 -0.234489654945763 0.295069827 0.197450664271186 -0.0954595207311864 0.273798939067797 0.208980163059322 -0.418065093559322 -0.577267177288136 -0.440487328644068 -0.537864124915254 -0.731443256440678 -0.862887200169491 -0.498938397813559 -0.908319897288136 -0.253739964061017 -0.287090960677966 -0.609037813728814 0.544808361694915 -0.739748498474576 -0.625949738813559 -0.802023037288136 -0.942222829322034 -0.940017145084746 -0.955469949152542 -0.961424050677966 -0.941053190338983
